pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,cluster_kmeans_k4,cluster_minibatch_k9
61,83,15,27,37,46,3,8
59,88,15,24,34,45,3,8
61,94,14,25,36,39,3,8
66,101,15,23,35,33,3,8
59,87,15,24,25,37,3,8
56,74,15,24,33,31,3,8
62,89,10,33,25,51,3,8
57,71,10,29,22,48,3,8
51,70,10,27,25,41,3,8
56,85,13,28,24,37,3,8
60,89,12,32,20,39,3,8
51,70,13,25,15,40,3,8
57,74,58,7,32,11,2,2
49,73,58,7,35,6,2,2
55,100,58,12,31,36,2,2
56,89,58,9,34,17,2,2
52,74,58,8,28,14,2,2
61,82,59,10,25,26,2,2
60,81,58,8,28,11,2,2
57,76,58,9,26,13,2,2
55,72,59,8,24,14,2,2
61,79,60,15,15,44,2,4
47,63,59,9,18,25,2,6
58,83,59,10,33,21,2,2
56,75,58,12,30,30,2,2
63,85,59,13,30,36,2,2
63,82,58,11,28,21,2,2
62,83,58,11,31,20,2,2
53,77,62,8,35,40,2,4
42,66,61,7,34,36,2,6
52,75,61,7,38,38,2,4
56,84,62,9,36,53,2,4
59,86,61,10,40,52,2,4
62,98,61,10,32,51,2,4
54,84,61,11,25,51,2,4
53,74,61,11,20,50,2,4
56,81,61,13,26,57,2,4
48,66,61,13,21,65,2,4
52,81,62,12,21,54,2,4
51,12,61,10,22,50,2,6
44,13,61,9,22,43,2,6
65,81,53,21,44,18,0,1
66,74,53,21,39,23,0,1
65,79,53,19,43,16,0,1
118,69,53,16,31,13,0,2
82,76,53,21,34,19,0,1
162,97,53,17,39,15,0,2
70,83,53,17,31,12,0,2
57,63,53,17,34,12,2,1
57,58,53,39,23,23,2,1
50,46,53,19,24,17,2,1
57,65,53,23,38,17,0,1
54,54,53,22,34,21,2,1
59,60,53,21,34,23,2,1
65,69,53,21,42,16,0,1
62,69,53,22,37,18,0,1
63,67,53,21,47,25,2,1
57,60,54,18,42,25,2,1
60,64,54,20,52,29,2,1
64,69,54,20,49,25,2,1
61,69,54,20,54,26,0,1
76,75,55,22,45,23,0,1
68,63,54,20,35,20,2,1
60,54,54,19,31,18,2,1
68,63,54,31,34,28,2,1
52,53,54,27,30,27,2,1
56,51,53,23,33,24,2,1
62,62,54,22,34,20,2,1
90,104,54,27,31,24,0,2
51,58,54,20,30,21,2,1
49,93,34,20,46,12,0,5
37,85,34,17,67,12,0,5
45,89,32,20,43,17,0,5
40,84,34,18,41,13,0,5
37,81,35,18,43,12,0,5
26,86,36,20,40,17,0,5
65,89,55,8,24,18,2,2
72,103,55,11,24,19,0,2
68,103,55,8,23,13,0,2
64,92,54,7,24,16,2,2
65,89,54,8,21,16,2,2
60,81,54,8,21,20,2,2
68,99,55,9,27,15,0,2
64,78,55,9,19,17,2,2
77,115,56,8,20,12,0,2
72,102,56,12,20,20,2,2
75,110,56,17,21,29,2,2
67,95,56,14,22,19,2,2
71,99,56,12,24,12,0,2
77,106,57,12,25,16,0,2
80,106,56,11,24,12,0,2
71,91,56,10,19,19,2,2
60,81,56,11,16,20,2,2
35,55,55,10,14,15,2,6
59,78,56,17,16,34,2,4
70,97,56,12,24,15,0,2
79,106,56,12,22,18,0,2
67,91,56,9,21,16,2,2
66,98,57,10,20,15,2,2
74,107,56,11,24,13,0,2
45,62,54,8,13,20,2,6
58,77,54,11,15,24,2,2
61,76,54,11,17,25,2,2
52,73,55,12,19,29,2,6
49,73,55,19,17,67,2,4
49,72,55,13,16,50,2,4
64,84,55,12,17,34,2,2
71,94,55,13,19,32,2,2
67,90,56,13,15,39,2,4
63,80,55,9,15,31,2,2
63,75,55,8,13,27,2,2
64,74,55,14,11,38,2,4
52,67,55,8,14,22,2,6
63,73,55,13,11,28,2,2
67,74,55,17,10,45,2,4
69,85,55,10,15,20,2,2
56,71,55,10,18,29,2,6
60,72,55,11,16,38,2,4
57,72,56,11,18,36,2,4
69,84,56,15,15,41,2,4
67,80,56,14,16,42,2,4
68,81,56,10,16,37,2,4
64,72,56,10,13,39,2,4
65,70,56,13,12,44,2,4
27,34,55,7,12,38,2,6
61,70,56,15,12,65,2,4
59,73,56,13,16,39,2,4
70,82,55,20,14,36,2,4
61,19,55,11,12,37,2,6
61,19,55,12,14,38,2,6
69,17,13,13,16,22,1,3
56,71,29,14,16,6,1,0
64,88,29,15,19,9,0,0
68,90,30,23,15,8,0,0
79,107,30,32,15,13,0,0
71,97,30,19,17,10,0,0
78,107,30,22,16,12,0,0
76,101,30,17,18,10,0,0
85,111,30,18,13,13,0,0
74,96,30,13,15,7,0,0
75,92,30,12,13,7,0,0
67,85,30,13,11,6,0,0
62,82,30,15,14,6,0,0
69,94,30,15,14,10,0,0
75,98,30,12,12,8,0,0
82,111,30,13,20,8,0,0
74,98,30,12,18,9,0,0
77,105,31,14,18,11,0,0
69,92,31,17,18,11,0,0
83,110,31,18,20,10,0,0
83,107,31,17,20,15,0,0
84,106,31,16,22,9,0,0
78,95,31,15,16,8,0,0
82,95,30,18,10,6,0,0
41,55,30,12,9,8,1,3
71,88,30,15,11,8,0,0
81,104,31,13,22,9,0,0
81,104,31,14,20,8,0,0
77,94,31,11,18,7,0,0
77,100,31,11,19,10,0,0
91,110,31,13,22,9,0,0
41,64,23,17,64,13,0,5
53,81,23,17,62,13,0,5
58,95,24,18,75,17,0,5
62,97,26,22,57,27,0,5
60,97,26,23,58,21,0,5
56,86,26,18,60,17,0,5
68,111,28,21,54,26,0,5
65,107,28,20,58,23,0,5
66,109,28,22,60,20,0,5
54,80,26,16,61,12,0,5
52,82,25,17,65,14,0,5
56,87,25,23,53,16,0,5
45,72,24,16,59,11,0,5
60,101,25,23,61,22,0,5
59,91,26,23,57,21,0,5
58,95,26,20,58,15,0,5
57,96,27,20,63,17,0,5
62,101,29,21,65,21,0,5
68,108,28,21,66,21,0,5
66,80,24,20,60,17,0,5
57,83,24,22,57,20,0,5
29,53,25,18,57,17,1,5
62,94,31,26,57,22,0,5
60,95,30,22,65,20,0,5
66,110,27,26,64,26,0,5
56,87,26,17,62,14,0,5
54,95,28,18,66,19,0,5
62,111,28,21,69,22,0,5
33,86,39,19,47,14,0,5
39,79,38,18,42,13,0,5
30,88,40,19,40,14,0,5
22,88,38,20,47,16,0,5
37,98,38,19,57,14,0,5
30,109,39,20,62,14,0,5
21,92,37,19,55,14,0,5
37,85,37,21,42,18,0,5
47,109,35,28,44,24,0,5
35,79,35,26,42,21,0,5
27,80,35,23,42,21,0,5
30,99,36,22,47,20,0,5
29,95,36,22,40,25,0,5
18,79,38,20,35,14,0,5
63,91,13,29,24,46,3,8
61,85,13,27,23,52,3,8
61,90,13,29,20,44,3,8
59,82,16,26,21,40,3,8
56,80,12,30,19,46,3,8
52,73,10,27,27,40,3,8
72,108,16,31,24,48,3,8
55,76,16,25,21,40,3,8
55,76,13,26,24,41,3,8
30,80,35,17,47,10,0,5
28,79,35,18,40,11,0,5
17,65,34,17,48,9,0,5
38,76,33,24,36,17,0,5
26,68,34,19,28,18,1,0
